test_id,node,test_category,test_description,test,result,failure_reason
1,gts478,Hardware,Power supply state,Power supply 1,FAIL,Power supply state is "powerLoss"
2,gts478,Hardware,Power supply state,Power supply 2,PASS
3,gts479,Hardware,Power supply state,Power supply 1,FAIL,Power supply state is "powerLoss"
4,gts479,Hardware,Power supply state,Power supply 2,PASS
5,gts480,Hardware,Power supply state,Power supply 1,FAIL,Power supply state is "powerLoss"
6,gts480,Hardware,Power supply state,Power supply 2,PASS
7,gts481,Hardware,Power supply state,Power supply 1,FAIL,Power supply state is "powerLoss"
8,gts481,Hardware,Power supply state,Power supply 2,PASS
9,hs447,Hardware,Power supply state,Power supply 1,PASS
10,hs447,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
11,hs448,Hardware,Power supply state,Power supply 1,PASS
12,hs448,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
13,kn254,Hardware,Power supply state,Power supply 1,PASS
14,kn254,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
15,kn255,Hardware,Power supply state,Power supply 1,PASS
16,kn255,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
17,kn261,Hardware,Power supply state,Power supply 1,PASS
18,kn261,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
19,kn271,Hardware,Power supply state,Power supply 1,PASS
20,kn271,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
21,ph155,Hardware,Power supply state,Power supply 1,FAIL,Power supply state is "powerLoss"
22,ph155,Hardware,Power supply state,Power supply 3,PASS
23,ph155,Hardware,Power supply state,Power supply 2,PASS
24,ph155,Hardware,Power supply state,Power supply 4,PASS
25,ph156,Hardware,Power supply state,Power supply 1,PASS
26,ph156,Hardware,Power supply state,Power supply 3,PASS
27,ph156,Hardware,Power supply state,Power supply 2,PASS
28,ph156,Hardware,Power supply state,Power supply 4,FAIL,Power supply state is "powerLoss"
29,tg257,Hardware,Power supply state,Power supply 1,PASS
30,tg257,Hardware,Power supply state,Power supply 3,FAIL,Power supply state is "powerLoss"
31,tg257,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
32,tg257,Hardware,Power supply state,Power supply 4,PASS
33,tg294,Hardware,Power supply state,Power supply 1,PASS
34,tg294,Hardware,Power supply state,Power supply 3,FAIL,Power supply state is "powerLoss"
35,tg294,Hardware,Power supply state,Power supply 2,FAIL,Power supply state is "powerLoss"
36,tg294,Hardware,Power supply state,Power supply 4,PASS
37,gts478,Hardware,fan status (power supplies),PowerSupply1,PASS
38,gts478,Hardware,fan status (power supplies),PowerSupply2,PASS
39,gts479,Hardware,fan status (power supplies),PowerSupply1,PASS
40,gts479,Hardware,fan status (power supplies),PowerSupply2,PASS
41,gts480,Hardware,fan status (power supplies),PowerSupply1,PASS
42,gts480,Hardware,fan status (power supplies),PowerSupply2,PASS
43,gts481,Hardware,fan status (power supplies),PowerSupply1,PASS
44,gts481,Hardware,fan status (power supplies),PowerSupply2,PASS
45,hs447,Hardware,fan status (power supplies),PowerSupply1,PASS
46,hs447,Hardware,fan status (power supplies),PowerSupply2,PASS
47,hs448,Hardware,fan status (power supplies),PowerSupply1,PASS
48,hs448,Hardware,fan status (power supplies),PowerSupply2,PASS
49,kn254,Hardware,fan status (power supplies),PowerSupply1,PASS
50,kn254,Hardware,fan status (power supplies),PowerSupply2,PASS
51,kn255,Hardware,fan status (power supplies),PowerSupply1,PASS
52,kn255,Hardware,fan status (power supplies),PowerSupply2,PASS
53,kn261,Hardware,fan status (power supplies),PowerSupply1,PASS
54,kn261,Hardware,fan status (power supplies),PowerSupply2,PASS
55,kn271,Hardware,fan status (power supplies),PowerSupply1,PASS
56,kn271,Hardware,fan status (power supplies),PowerSupply2,PASS
57,ph155,Hardware,fan status (power supplies),PowerSupply1,PASS
58,ph155,Hardware,fan status (power supplies),PowerSupply2,PASS
59,ph155,Hardware,fan status (power supplies),PowerSupply3,PASS
